username,sentimen,comment,translated_comment,case_folding,cleaning,lemmatization,remove_stopwords
kak_ntank,positif,Terima kasih,Thank you.,thank you.,thank you,thank,thank
watun_syana,positif,Alhamdulillah bapak bupati sangat peduli dengan warga di pulau Bawean,"Praise be to God, the regent's father is very concerned about the islanders of Bawean.","praise be to god, the regent's father is very concerned about the islanders of bawean.",praise be to god  the regent s father is very concerned about the islanders of bawean,praise god regent s father very concerned islander bawean,praise god regent s father concerned islander bawean
mas_iril_namine,positif,tetep semangat pak bupati,"Keep the spirit up, Mr. Regent!","keep the spirit up, mr. regent!",keep the spirit up  mr  regent,keep spirit mr regent,spirit mr regent
st.budi27,positif,semangat gus🔥🔥🔥,"The spirit, dude!","the spirit, dude!",the spirit  dude,spirit dude,spirit dude
armansaleh432,positif,Semoga pemkab gresik dan pemerintah pusat khususnya memberi panduan untuk bangun rumah atau bangunan tahan gempa,"May the Gresik Regency Government and the Central Government, especially, provide guidance for building earthquake-resistant houses or buildings.","may the gresik regency government and the central government, especially, provide guidance for building earthquake-resistant houses or buildings.",may the gresik regency government and the central government  especially  provide guidance for building earthquake resistant houses or buildings,gresik regency government central government especially provide guidance build earthquake resistant house building,gresik regency government central government especially provide guidance build earthquake resistant house building
devitprasetia,positif,Tetap semangat selalu Gus kuu,"Always keep the spirit, bro!","always keep the spirit, bro!",always keep the spirit  bro,always keep spirit bro,spirit bro
bawean_mbois,negatif,"Min, mohon logistik dipercepat",We kindly request that logistics be expedited.,we kindly request that logistics be expedited.,we kindly request that logistics be expedited,kindly request logistic expedite,kindly request logistic expedite
nana_nananananananaa,positif,"Bawean butuh bantuan min, mohon dipercepat logistik🙏","Bawean needs assistance, please expedite logistics.","bawean needs assistance, please expedite logistics.",bawean needs assistance  please expedite logistics,bawean need assistance expedite logistic,bawean need assistance expedite logistic
kyrahafsha,positif,Logistik untuk Bawean min,Logistics for Bawean Island.,logistics for bawean island.,logistics for bawean island,logistic bawean island,logistic bawean island
fadril.rach_,positif,"Logistik minta tolong pak, bawean butuh bantuan sangat butuh bahkan mohon dipercepat terima kasih","Logistics please help Pak Bawean needs assistance urgently, even requesting expedited handling, thank you.","logistics please help pak bawean needs assistance urgently, even requesting expedited handling, thank you.",logistics please help pak bawean needs assistance urgently  even requesting expedited handling  thank you,logistic help pak bawean need assistance urgently even request expedited handling thank,logistic help pak bawean need assistance urgently request expedited handling thank
explorendasmu,positif, logistik pak untuk Bawean mohon dipercepat. Terima kasih,"Expedite logistics package for Bawean, thank you.","expedite logistics package for bawean, thank you.",expedite logistics package for bawean  thank you,expedite logistic package bawean thank,expedite logistic package bawean thank
